Date,Metal Tapped 7 Dy Run (kg/pd),Amperage (kA),Curr Eff 7 Dy Running (%),Aluminium (%),Iron (%),Cell Age (days),Cell Restart Age (days),BFT (sec),UF (min),UF_NO (no),Silicon (%),Base RSP (µΩ),Nett Sp Engy 7 Dy Run (kWh/kg Al),Nett Volts Per Pot (V),Anode Problems (No),Anode Shift Life (shifts),AlF3 Cons (kg AlF3/pd),Bath Temp (°C),Excess AlF3 (%),Metal Ht Bef Tap (cm),Bath Ht Bef Tap (cm),AE Freq (AE/pd),AE Duration (secs),Noise Volts (V),Noise Act (No/pd),Alumina Dumps (No/pd),Lining Drop (mV),Bath Temp (°C),AEV (V),SPAR,Call Wt (kg),Cruce Wt (kg),Sm RES (µΩ),TRSP (µΩ),TRSP TIME (min),Current Effeciency (%),Net Specific Energy (kWh/kg Al),NAE Freq (AE/pd)
09-AUG-19,1735.64705882353,230.06,93.7419485294118,99.8755967741935,0.092370967741936,1016,,30.2775735294118,38.3161764705882,12.922794117647,0.024483870967742,11.1244485294118,13.5468382352941,4.25681985294118,6,80,22.2051470588235,960.648648648649,12.115,21.9362745098039,17.0833333333333,0.025735294117647,55.2,0.016683823529412,0.224264705882353,2852.66911764706,,960.648648648649,12.4202,5.7,2309.11764705882,2308.57843137255,11.3239080882353,0.003323529411765,233.666666666667,93.4567895930756,13.571748800698,0.136029411764706
10-AUG-19,1734.41176470588,230.05,93.6551102941176,99.8884756097561,0.083707317073171,1017,,30.2599264705882,39.0919117647059,12.7463235294118,0.022475609756098,11.1244485294118,0,4.25720220588235,16,80,22.6830882352941,962.156028368794,11.4657142857143,21.8480392156863,16.9512195121951,0.025735294117647,32.3333333333333,0.016294117647059,0.261029411764706,2833.51838235294,323.310810810811,962.156028368794,11.5766666666667,5.73942857142857,2294.46078431373,2301.42156862745,11.3270367647059,0.001816176470588,176.909090909091,93.1719225492058,13.6705624524191,0.110294117647059
11-AUG-19,1731.16544117647,230.02,93.6030882352941,99.8811944444444,0.086958333333333,1018,,30.3977941176471,38.6654411764706,12.922794117647,0.024972222222222,11.1244485294118,0,4.25616911764706,4,80,23.0415441176471,961.944444444444,10.9351351351351,22.0196078431373,17.0245098039216,0.014705882352941,19,0.016867647058824,0.216911764705882,2831.69485294118,,961.944444444444,11.831,5.72405405405405,2312.35294117647,2314.24019607843,11.3212022058823,0.001077205882353,199.166666666667,93.7010612509035,13.5481449038346,0.121323529411765
12-AUG-19,1729.48897058824,230.15,93.5099264705882,99.8888235294118,0.081867647058824,1019,,30.4272058823529,37.3676470588235,13.0514705882353,0.023705882352941,11.1244485294118,0,4.24959191176471,9,80,23.3808823529412,964.180555555556,11.3425,21.906862745098,17.1764705882353,0.003676470588235,33,0.016363970588235,0.209558823529412,2840.54411764706,,964.180555555556,10.111,5.71725,2314.72906403941,2315.76354679803,11.2938161764706,0.002595588235294,237.090909090909,93.7085570154071,13.5505080520419,0.095588235294118
13-AUG-19,1730.25735294118,230.09,93.3865441176471,99.8873098591549,0.082830985915493,1020,,30.2952205882353,38.0220588235294,12.9117647058824,0.023380281690141,11.1244485294118,0,4.25779411764706,13,80,23.7154411764706,963.314685314685,11.5733333333333,21.8341463414634,16.906862745098,0.014705882352941,18,0.016169117647059,0.216911764705882,2851.69117647059,,963.314685314685,11.543,5.63155555555556,2286.63414634146,2290.65853658537,11.3273602941176,0.001261029411765,324.75,92.7180496194376,14.001248425527,0.099264705882353
14-AUG-19,1729.31617647059,230,93.3388235294118,99.8811940298507,0.090925373134328,1021,,30.2084558823529,37.7279411764706,12.8970588235294,0.023850746268657,11.1245588235294,0,4.25546691176471,5,80,24.375,964.094594594595,11.0933333333333,21.7794117647059,17.2843137254902,0.014705882352941,9.66666666666667,0.016448529411765,0.242647058823529,2860.22426470588,,964.094594594595,12.24,5.84333333333333,2287.45098039216,2293.67647058824,11.3203823529412,0.002036764705882,261.333333333333,92.8753225069939,13.7235654589843,0.121323529411765
15-AUG-19,1729.00367647059,230.02,93.3212132352941,99.8795507246377,0.090028985507246,1022,,30.04375,37.7095588235294,12.9595588235294,0.022478260869565,11.1246323529412,13.6052205882353,4.25759926470588,15,80,24.9772058823529,962.260563380282,11.4891891891892,21.9019607843137,17.3627450980392,0.040441176470588,24.9,0.016345588235294,0.272058823529412,2873.26102941176,,962.260563380282,12.3646,5.7327027027027,2301.41463414634,2304,11.3282242647059,0.003220588235294,243.071428571429,93.2864468813181,13.9249699109429,0.216911764705882
16-AUG-19,1729.16544117647,230.03,93.3312132352941,99.8750144927536,0.093724637681159,1023,,30.0621323529412,39.1323529411765,12.6948529411765,0.024492753623188,11.1246323529412,13.6083455882353,4.25291911764706,10,80,24.9341911764706,964.758620689655,11.4657894736842,21.7303921568627,17.4509803921569,0.047794117647059,25.1818181818182,0.016161764705882,0.242647058823529,2860.73529411765,,964.758620689655,12.4409090909091,5.77289473684211,2253.84615384615,2261.73076923077,11.3088676470588,0.001606617647059,291.333333333333,91.5734193973877,15.0718733349561,0.246323529411765
17-AUG-19,1729.26838235294,230.05,93.3401470588235,99.8854050632911,0.085518987341772,1024,,30.1863970588235,40.5588235294118,12.5955882352941,0.023392405063291,11.1246323529412,0,4.25580514705882,18,80,24.4084558823529,963.836734693878,10.9923076923077,21.6029411764706,17.2450980392157,0.014705882352941,8.5,0.015838235294118,0.235294117647059,2828.34558823529,,963.836734693878,11.22725,5.81615384615385,2306.27450980392,2302.23039215686,11.3197867647059,0.001786764705882,272,93.2030467743488,13.6650988926873,0.139705882352941
18-AUG-19,1729.88970588235,230.02,93.3710661764706,99.8858076923077,0.086051282051282,1025,,30.3367647058824,39.4044117647059,12.7941176470588,0.023410256410256,11.1246323529412,0,4.25265441176471,20,80,27.0801470588235,966.585714285714,10.1230769230769,21.7463414634146,16.75,0.029411764705882,22.1428571428571,0.015580882352941,0.205882352941176,2835.64338235294,,966.585714285714,12.0802857142857,5.80461538461538,2213.56807511737,2218.21596244131,11.3073713235294,0.001816176470588,219.888888888889,89.8147066229421,16.1300711713389,0.176470588235294
19-AUG-19,1730.54044117647,229.56,93.4399264705882,99.8804743589743,0.090064102564103,1026,,30.2977941176471,39.1323529411765,12.8492647058824,0.024794871794872,11.1246323529412,0,4.24862867647059,17,80,29.0827205882353,964.428571428571,10.3378378378378,21.8186274509804,17.2156862745098,0.022058823529412,26.2,0.015683823529412,0.253676470588235,2834.25,,964.428571428571,11.0388,5.73378378378378,2291.31067961165,2293.78640776699,11.307669117647,0.001588235294118,134.416666666667,93.0602268522928,14.2941086155037,0.117647058823529
20-AUG-19,1732.44117647059,230.05,93.5463602941176,99.8806764705882,0.091044117647059,1027,,30.3948529411765,40.8125,12.610294117647,0.024529411764706,11.1248014705882,0,4.25498161764706,11,80,29.1783088235294,966.188811188811,10.8333333333333,21.8137254901961,16.9162561576355,0.029411764705882,24.125,0.015830882352941,0.209558823529412,2816.23897058824,,966.188811188811,11.229375,5.71179487179487,2241.89573459716,2246.72985781991,11.3210220588235,0.005566176470588,271.263157894737,90.9545924772831,15.4673669337028,0.172794117647059
21-AUG-19,1735.08088235294,230.1,93.6816544117647,99.8702666666667,0.0981,1028,,30.2172794117647,38.2316176470588,12.7610294117647,0.025233333333333,11.1252536764706,0,4.25719485294118,17,80,29.5797794117647,967.55033557047,11.0227272727273,21.7414634146341,17.1813725490196,0.051470588235294,15,0.015886029411765,0.264705882352941,2854.38235294118,,967.55033557047,11.9806666666667,5.80045454545455,2299.85365853659,2302.19512195122,11.323794117647,0.004268382352941,515.142857142857,93.1829863554959,13.8625160193595,0.209558823529412
