id,date,siteid,name,actual_description,state,arrivals,departures
1,21/06/2014,2,AITA,Adelaide ITA,21,1,0
2,21/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
3,21/06/2014,3,BITA,Brisbane ITA,61,3,2
4,21/06/2014,15,BAPOD,Bladin APOD,286,0,0
5,21/06/2014,16,CC,Construction Camp APOD,295,0,3
6,21/06/2014,6,CIDC,Curtin IDC,169,0,0
7,21/06/2014,19,CIIDC,CI - North West Point,729,0,19
8,21/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
9,21/06/2014,10,MIDC,Maribyrnong IDC,106,3,5
10,21/06/2014,9,MITA,Melbourne ITA,220,1,0
11,21/06/2014,17,PH,Phosphate Hill APOD,77,0,0
12,21/06/2014,7,PIDC,Perth IDC,52,2,2
13,21/06/2014,8,PIRH,Perth IRH,16,0,0
14,21/06/2014,5,SIRH,Sydney IRH,36,0,0
15,21/06/2014,4,VIDC,Villawood IDC,273,1,2
16,21/06/2014,14,WPIDF,Wickham Point APOD,650,4,0
17,21/06/2014,13,YHIDC,Yongah Hill IDC,402,1,0
18,22/06/2014,2,AITA,Adelaide ITA,22,1,0
19,22/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
20,22/06/2014,3,BITA,Brisbane ITA,57,0,4
21,22/06/2014,15,BAPOD,Bladin APOD,286,0,0
22,22/06/2014,16,CC,Construction Camp APOD,295,0,0
23,22/06/2014,6,CIDC,Curtin IDC,169,0,0
24,22/06/2014,19,CIIDC,CI - North West Point,729,0,0
25,22/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
26,22/06/2014,10,MIDC,Maribyrnong IDC,106,3,3
27,22/06/2014,9,MITA,Melbourne ITA,220,0,0
28,22/06/2014,17,PH,Phosphate Hill APOD,77,0,0
29,22/06/2014,7,PIDC,Perth IDC,56,6,2
30,22/06/2014,8,PIRH,Perth IRH,16,0,0
31,22/06/2014,5,SIRH,Sydney IRH,36,0,0
32,22/06/2014,4,VIDC,Villawood IDC,276,5,2
33,22/06/2014,14,WPIDF,Wickham Point APOD,644,0,6
34,22/06/2014,13,YHIDC,Yongah Hill IDC,403,1,0
35,23/06/2014,2,AITA,Adelaide ITA,20,0,2
36,23/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
37,23/06/2014,3,BITA,Brisbane ITA,58,1,0
38,23/06/2014,15,BAPOD,Bladin APOD,286,0,0
39,23/06/2014,16,CC,Construction Camp APOD,295,0,0
40,23/06/2014,6,CIDC,Curtin IDC,169,0,0
41,23/06/2014,19,CIIDC,CI - North West Point,729,0,0
42,23/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
43,23/06/2014,10,MIDC,Maribyrnong IDC,102,4,8
44,23/06/2014,9,MITA,Melbourne ITA,220,0,0
45,23/06/2014,17,PH,Phosphate Hill APOD,77,0,0
46,23/06/2014,7,PIDC,Perth IDC,57,1,0
47,23/06/2014,8,PIRH,Perth IRH,16,0,0
48,23/06/2014,5,SIRH,Sydney IRH,36,0,0
49,23/06/2014,4,VIDC,Villawood IDC,275,8,9
50,23/06/2014,14,WPIDF,Wickham Point APOD,644,0,0
51,23/06/2014,13,YHIDC,Yongah Hill IDC,402,0,1
52,24/06/2014,2,AITA,Adelaide ITA,20,0,0
53,24/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
54,24/06/2014,3,BITA,Brisbane ITA,56,1,3
55,24/06/2014,15,BAPOD,Bladin APOD,322,36,0
56,24/06/2014,16,CC,Construction Camp APOD,293,0,2
57,24/06/2014,6,CIDC,Curtin IDC,169,0,0
58,24/06/2014,19,CIIDC,CI - North West Point,728,0,1
59,24/06/2014,11,IAPOD,Inverbrackie APOD,256,3,0
60,24/06/2014,10,MIDC,Maribyrnong IDC,96,2,8
61,24/06/2014,9,MITA,Melbourne ITA,217,0,3
62,24/06/2014,17,PH,Phosphate Hill APOD,77,0,0
63,24/06/2014,7,PIDC,Perth IDC,60,7,4
64,24/06/2014,8,PIRH,Perth IRH,16,0,0
65,24/06/2014,5,SIRH,Sydney IRH,36,0,0
66,24/06/2014,4,VIDC,Villawood IDC,268,5,12
67,24/06/2014,14,WPIDF,Wickham Point APOD,604,1,41
68,24/06/2014,13,YHIDC,Yongah Hill IDC,403,1,0
69,25/06/2014,2,AITA,Adelaide ITA,20,0,0
70,25/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
71,25/06/2014,3,BITA,Brisbane ITA,55,1,2
72,25/06/2014,15,BAPOD,Bladin APOD,323,1,0
73,25/06/2014,16,CC,Construction Camp APOD,293,0,0
74,25/06/2014,6,CIDC,Curtin IDC,161,0,8
75,25/06/2014,19,CIIDC,CI - North West Point,728,0,0
76,25/06/2014,11,IAPOD,Inverbrackie APOD,253,0,3
77,25/06/2014,10,MIDC,Maribyrnong IDC,108,15,3
78,25/06/2014,9,MITA,Melbourne ITA,216,0,1
79,25/06/2014,17,PH,Phosphate Hill APOD,77,0,0
80,25/06/2014,7,PIDC,Perth IDC,61,9,8
81,25/06/2014,8,PIRH,Perth IRH,15,5,6
82,25/06/2014,5,SIRH,Sydney IRH,36,0,0
83,25/06/2014,4,VIDC,Villawood IDC,267,10,11
84,25/06/2014,14,WPIDF,Wickham Point APOD,599,0,5
85,25/06/2014,13,YHIDC,Yongah Hill IDC,404,3,2
86,26/06/2014,2,AITA,Adelaide ITA,27,7,0
87,26/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
88,26/06/2014,3,BITA,Brisbane ITA,60,7,2
89,26/06/2014,15,BAPOD,Bladin APOD,359,36,0
90,26/06/2014,16,CC,Construction Camp APOD,289,0,4
91,26/06/2014,6,CIDC,Curtin IDC,155,0,6
92,26/06/2014,19,CIIDC,CI - North West Point,728,0,0
93,26/06/2014,11,IAPOD,Inverbrackie APOD,250,0,3
94,26/06/2014,10,MIDC,Maribyrnong IDC,105,2,5
95,26/06/2014,9,MITA,Melbourne ITA,216,0,0
96,26/06/2014,17,PH,Phosphate Hill APOD,77,0,0
97,26/06/2014,7,PIDC,Perth IDC,62,6,5
98,26/06/2014,8,PIRH,Perth IRH,15,0,0
99,26/06/2014,5,SIRH,Sydney IRH,36,0,0
100,26/06/2014,4,VIDC,Villawood IDC,277,12,2
101,26/06/2014,14,WPIDF,Wickham Point APOD,559,3,43
102,26/06/2014,13,YHIDC,Yongah Hill IDC,405,5,4
103,27/06/2014,2,AITA,Adelaide ITA,23,0,4
104,27/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
105,27/06/2014,3,BITA,Brisbane ITA,60,4,4
106,27/06/2014,15,BAPOD,Bladin APOD,360,1,0
107,27/06/2014,16,CC,Construction Camp APOD,292,3,0
108,27/06/2014,6,CIDC,Curtin IDC,147,0,8
109,27/06/2014,19,CIIDC,CI - North West Point,728,0,0
110,27/06/2014,11,IAPOD,Inverbrackie APOD,250,0,0
111,27/06/2014,10,MIDC,Maribyrnong IDC,108,6,3
112,27/06/2014,9,MITA,Melbourne ITA,211,1,6
113,27/06/2014,17,PH,Phosphate Hill APOD,81,4,0
114,27/06/2014,7,PIDC,Perth IDC,64,5,3
115,27/06/2014,8,PIRH,Perth IRH,16,1,0
116,27/06/2014,5,SIRH,Sydney IRH,36,0,0
117,27/06/2014,4,VIDC,Villawood IDC,278,4,3
118,27/06/2014,14,WPIDF,Wickham Point APOD,559,8,8
119,27/06/2014,13,YHIDC,Yongah Hill IDC,406,2,1
120,28/06/2014,2,AITA,Adelaide ITA,18,0,5
121,28/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
122,28/06/2014,3,BITA,Brisbane ITA,61,2,1
123,28/06/2014,15,BAPOD,Bladin APOD,396,36,0
124,28/06/2014,16,CC,Construction Camp APOD,289,0,3
125,28/06/2014,6,CIDC,Curtin IDC,147,0,0
126,28/06/2014,19,CIIDC,CI - North West Point,707,0,21
127,28/06/2014,11,IAPOD,Inverbrackie APOD,251,1,0
128,28/06/2014,10,MIDC,Maribyrnong IDC,107,1,2
129,28/06/2014,9,MITA,Melbourne ITA,211,1,1
130,28/06/2014,17,PH,Phosphate Hill APOD,81,0,0
131,28/06/2014,7,PIDC,Perth IDC,65,4,3
132,28/06/2014,8,PIRH,Perth IRH,15,0,1
133,28/06/2014,5,SIRH,Sydney IRH,36,0,0
134,28/06/2014,4,VIDC,Villawood IDC,274,0,4
135,28/06/2014,14,WPIDF,Wickham Point APOD,524,1,36
136,28/06/2014,13,YHIDC,Yongah Hill IDC,402,1,5
138,29/06/2014,2,AITA,Adelaide ITA,18,0,0
139,29/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
140,29/06/2014,3,BITA,Brisbane ITA,62,3,2
141,29/06/2014,15,BAPOD,Bladin APOD,396,0,0
142,29/06/2014,16,CC,Construction Camp APOD,289,0,0
143,29/06/2014,6,CIDC,Curtin IDC,147,0,0
144,29/06/2014,19,CIIDC,CI - North West Point,707,0,0
145,29/06/2014,11,IAPOD,Inverbrackie APOD,255,4,0
146,29/06/2014,10,MIDC,Maribyrnong IDC,107,2,2
147,29/06/2014,9,MITA,Melbourne ITA,211,0,0
148,29/06/2014,17,PH,Phosphate Hill APOD,81,0,0
149,29/06/2014,7,PIDC,Perth IDC,60,1,6
150,29/06/2014,8,PIRH,Perth IRH,15,0,0
151,29/06/2014,5,SIRH,Sydney IRH,36,0,0
152,29/06/2014,4,VIDC,Villawood IDC,280,11,5
153,29/06/2014,14,WPIDF,Wickham Point APOD,521,1,4
154,29/06/2014,13,YHIDC,Yongah Hill IDC,402,2,2
185,30/06/2014,2,AITA,Adelaide ITA,17,1,2
186,30/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
187,30/06/2014,3,BITA,Brisbane ITA,61,1,2
188,30/06/2014,15,BAPOD,Bladin APOD,396,0,0
189,30/06/2014,16,CC,Construction Camp APOD,289,0,0
190,30/06/2014,6,CIDC,Curtin IDC,147,0,0
191,30/06/2014,19,CIIDC,CI - North West Point,707,0,0
192,30/06/2014,11,IAPOD,Inverbrackie APOD,255,0,0
193,30/06/2014,10,MIDC,Maribyrnong IDC,106,2,3
194,30/06/2014,9,MITA,Melbourne ITA,208,0,3
195,30/06/2014,17,PH,Phosphate Hill APOD,81,0,0
196,30/06/2014,7,PIDC,Perth IDC,60,1,1
197,30/06/2014,8,PIRH,Perth IRH,15,0,0
198,30/06/2014,5,SIRH,Sydney IRH,36,0,0
199,30/06/2014,4,VIDC,Villawood IDC,282,8,6
200,30/06/2014,14,WPIDF,Wickham Point APOD,520,0,1
201,30/06/2014,13,YHIDC,Yongah Hill IDC,400,0,2
202,1/07/2014,2,AITA,Adelaide ITA,18,1,0
203,1/07/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
204,1/07/2014,3,BITA,Brisbane ITA,57,2,6
205,1/07/2014,15,BAPOD,Bladin APOD,396,0,0
206,1/07/2014,16,CC,Construction Camp APOD,291,2,0
207,1/07/2014,6,CIDC,Curtin IDC,147,0,0
208,1/07/2014,19,CIIDC,CI - North West Point,705,0,2
209,1/07/2014,11,IAPOD,Inverbrackie APOD,246,0,9
210,1/07/2014,10,MIDC,Maribyrnong IDC,107,6,5
211,1/07/2014,9,MITA,Melbourne ITA,199,0,9
212,1/07/2014,17,PH,Phosphate Hill APOD,81,0,0
213,1/07/2014,7,PIDC,Perth IDC,59,1,2
214,1/07/2014,8,PIRH,Perth IRH,15,0,0
215,1/07/2014,5,SIRH,Sydney IRH,41,5,0
216,1/07/2014,4,VIDC,Villawood IDC,291,16,7
217,1/07/2014,14,WPIDF,Wickham Point APOD,520,0,0
218,1/07/2014,13,YHIDC,Yongah Hill IDC,398,0,2
219,2/07/2014,2,AITA,Adelaide ITA,19,1,0
220,2/07/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
221,2/07/2014,3,BITA,Brisbane ITA,57,3,3
222,2/07/2014,15,BAPOD,Bladin APOD,399,5,2
223,2/07/2014,16,CC,Construction Camp APOD,295,19,15
224,2/07/2014,6,CIDC,Curtin IDC,147,0,0
225,2/07/2014,19,CIIDC,CI - North West Point,715,16,6
226,2/07/2014,11,IAPOD,Inverbrackie APOD,237,0,9
227,2/07/2014,10,MIDC,Maribyrnong IDC,109,5,3
228,2/07/2014,9,MITA,Melbourne ITA,199,0,0
229,2/07/2014,17,PH,Phosphate Hill APOD,79,0,2
230,2/07/2014,7,PIDC,Perth IDC,59,2,2
231,2/07/2014,8,PIRH,Perth IRH,15,0,0
232,2/07/2014,5,SIRH,Sydney IRH,41,0,0
233,2/07/2014,4,VIDC,Villawood IDC,285,3,9
234,2/07/2014,14,WPIDF,Wickham Point APOD,518,19,21
235,2/07/2014,13,YHIDC,Yongah Hill IDC,386,0,12
236,3/07/2014,2,AITA,Adelaide ITA,19,1,1
237,3/07/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
238,3/07/2014,3,BITA,Brisbane ITA,55,1,3
239,3/07/2014,15,BAPOD,Bladin APOD,395,1,5
240,3/07/2014,16,CC,Construction Camp APOD,297,2,0
241,3/07/2014,6,CIDC,Curtin IDC,147,0,0
242,3/07/2014,19,CIIDC,CI - North West Point,715,0,0
243,3/07/2014,11,IAPOD,Inverbrackie APOD,229,6,14
244,3/07/2014,10,MIDC,Maribyrnong IDC,109,4,4
245,3/07/2014,9,MITA,Melbourne ITA,201,2,0
246,3/07/2014,17,PH,Phosphate Hill APOD,77,0,2
247,3/07/2014,7,PIDC,Perth IDC,66,7,0
248,3/07/2014,8,PIRH,Perth IRH,15,0,0
249,3/07/2014,5,SIRH,Sydney IRH,41,0,0
250,3/07/2014,4,VIDC,Villawood IDC,297,18,6
251,3/07/2014,14,WPIDF,Wickham Point APOD,527,16,7
252,3/07/2014,13,YHIDC,Yongah Hill IDC,383,0,3
253,4/07/2014,2,AITA,Adelaide ITA,19,0,0
254,4/07/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
255,4/07/2014,3,BITA,Brisbane ITA,56,2,1
256,4/07/2014,15,BAPOD,Bladin APOD,391,0,4
257,4/07/2014,16,CC,Construction Camp APOD,297,0,0
258,4/07/2014,6,CIDC,Curtin IDC,147,0,0
259,4/07/2014,19,CIIDC,CI - North West Point,715,0,0
260,4/07/2014,11,IAPOD,Inverbrackie APOD,229,0,0
261,4/07/2014,10,MIDC,Maribyrnong IDC,106,5,8
262,4/07/2014,9,MITA,Melbourne ITA,203,2,0
263,4/07/2014,17,PH,Phosphate Hill APOD,91,14,0
264,4/07/2014,7,PIDC,Perth IDC,59,1,8
265,4/07/2014,8,PIRH,Perth IRH,15,0,0
266,4/07/2014,5,SIRH,Sydney IRH,41,0,0
267,4/07/2014,4,VIDC,Villawood IDC,285,2,14
268,4/07/2014,14,WPIDF,Wickham Point APOD,511,0,16
269,4/07/2014,13,YHIDC,Yongah Hill IDC,384,1,0
270,5/07/2014,2,AITA,Adelaide ITA,19,0,0
271,5/07/2014,2,AITA,Adelaide ITA,19,0,0
272,5/07/2014,3,BITA,Brisbane ITA,56,2,2
273,5/07/2014,15,BAPOD,Bladin APOD,390,0,1
274,5/07/2014,16,CC,Construction Camp APOD,297,0,0
275,5/07/2014,6,CIDC,Curtin IDC,147,0,0
276,5/07/2014,19,CIIDC,CI - North West Point,694,0,21
277,5/07/2014,11,IAPOD,Inverbrackie APOD,229,0,0
278,5/07/2014,10,MIDC,Maribyrnong IDC,106,3,3
279,5/07/2014,9,MITA,Melbourne ITA,203,0,0
280,5/07/2014,17,PH,Phosphate Hill APOD,91,0,0
281,5/07/2014,7,PIDC,Perth IDC,61,2,0
282,5/07/2014,8,PIRH,Perth IRH,15,0,0
283,5/07/2014,5,SIRH,Sydney IRH,41,0,0
284,5/07/2014,4,VIDC,Villawood IDC,290,7,2
285,5/07/2014,14,WPIDF,Wickham Point APOD,516,6,1
286,5/07/2014,13,YHIDC,Yongah Hill IDC,381,0,3
287,6/07/2014,2,AITA,Adelaide ITA,19,0,0
288,6/07/2014,3,BITA,Brisbane ITA,55,0,1
289,6/07/2014,15,BAPOD,Bladin APOD,390,0,0
290,6/07/2014,16,CC,Construction Camp APOD,297,0,0
291,6/07/2014,6,CIDC,Curtin IDC,147,0,0
292,6/07/2014,19,CIIDC,CI - North West Point,694,0,0
293,6/07/2014,11,IAPOD,Inverbrackie APOD,229,0,0
294,6/07/2014,10,MIDC,Maribyrnong IDC,107,1,0
295,6/07/2014,9,MITA,Melbourne ITA,203,0,0
296,6/07/2014,17,PH,Phosphate Hill APOD,91,0,0
297,6/07/2014,7,PIDC,Perth IDC,64,3,0
298,6/07/2014,8,PIRH,Perth IRH,15,0,0
299,6/07/2014,5,SIRH,Sydney IRH,41,0,0
300,6/07/2014,4,VIDC,Villawood IDC,290,4,4
301,6/07/2014,14,WPIDF,Wickham Point APOD,515,0,1
302,6/07/2014,13,YHIDC,Yongah Hill IDC,381,0,0
303,7/07/2014,2,AITA,Adelaide ITA,19,0,0
304,7/07/2014,3,BITA,Brisbane ITA,57,2,0
305,7/07/2014,15,BAPOD,Bladin APOD,389,1,2
306,7/07/2014,16,CC,Construction Camp APOD,297,0,0
307,7/07/2014,6,CIDC,Curtin IDC,147,0,0
308,7/07/2014,19,CIIDC,CI - North West Point,696,2,0
309,7/07/2014,11,IAPOD,Inverbrackie APOD,226,0,3
310,7/07/2014,10,MIDC,Maribyrnong IDC,110,5,2
311,7/07/2014,9,MITA,Melbourne ITA,202,0,1
312,7/07/2014,17,PH,Phosphate Hill APOD,89,0,2
313,7/07/2014,7,PIDC,Perth IDC,60,1,5
314,7/07/2014,8,PIRH,Perth IRH,15,0,0
315,7/07/2014,5,SIRH,Sydney IRH,41,0,0
316,7/07/2014,4,VIDC,Villawood IDC,287,3,6
317,7/07/2014,14,WPIDF,Wickham Point APOD,515,0,0
318,7/07/2014,13,YHIDC,Yongah Hill IDC,380,0,1
319,8/07/2014,2,AITA,Adelaide ITA,22,3,0
320,8/07/2014,3,BITA,Brisbane ITA,54,0,3
321,8/07/2014,15,BAPOD,Bladin APOD,389,0,0
322,8/07/2014,16,CC,Construction Camp APOD,297,0,0
323,8/07/2014,6,CIDC,Curtin IDC,147,0,0
324,8/07/2014,19,CIIDC,CI - North West Point,696,0,0
325,8/07/2014,11,IAPOD,Inverbrackie APOD,228,5,3
326,8/07/2014,10,MIDC,Maribyrnong IDC,112,7,5
327,8/07/2014,9,MITA,Melbourne ITA,200,0,2
328,8/07/2014,17,PH,Phosphate Hill APOD,89,0,0
329,8/07/2014,7,PIDC,Perth IDC,60,0,0
330,8/07/2014,8,PIRH,Perth IRH,15,0,0
331,8/07/2014,5,SIRH,Sydney IRH,40,0,1
332,8/07/2014,4,VIDC,Villawood IDC,292,8,3
333,8/07/2014,14,WPIDF,Wickham Point APOD,514,4,5
334,8/07/2014,13,YHIDC,Yongah Hill IDC,380,0,0
335,9/07/2014,2,AITA,Adelaide ITA,28,6,0
336,9/07/2014,3,BITA,Brisbane ITA,61,9,2
337,9/07/2014,15,BAPOD,Bladin APOD,389,0,0
338,9/07/2014,16,CC,Construction Camp APOD,297,0,0
339,9/07/2014,6,CIDC,Curtin IDC,147,0,0
340,9/07/2014,19,CIIDC,CI - North West Point,696,0,0
341,9/07/2014,11,IAPOD,Inverbrackie APOD,225,1,4
342,9/07/2014,10,MIDC,Maribyrnong IDC,110,6,8
343,9/07/2014,9,MITA,Melbourne ITA,201,2,1
344,9/07/2014,17,PH,Phosphate Hill APOD,89,0,0
345,9/07/2014,7,PIDC,Perth IDC,59,1,2
346,9/07/2014,8,PIRH,Perth IRH,11,0,4
347,9/07/2014,5,SIRH,Sydney IRH,40,0,0
348,9/07/2014,4,VIDC,Villawood IDC,295,10,7
349,9/07/2014,14,WPIDF,Wickham Point APOD,511,0,3
350,9/07/2014,13,YHIDC,Yongah Hill IDC,378,0,2
351,10/07/2014,2,AITA,Adelaide ITA,23,0,5
352,10/07/2014,3,BITA,Brisbane ITA,63,5,3
353,10/07/2014,15,BAPOD,Bladin APOD,386,0,3
354,10/07/2014,16,CC,Construction Camp APOD,297,0,0
355,10/07/2014,6,CIDC,Curtin IDC,139,0,8
356,10/07/2014,19,CIIDC,CI - North West Point,696,0,0
357,10/07/2014,11,IAPOD,Inverbrackie APOD,225,0,0
358,10/07/2014,10,MIDC,Maribyrnong IDC,104,2,8
359,10/07/2014,9,MITA,Melbourne ITA,197,0,4
360,10/07/2014,17,PH,Phosphate Hill APOD,89,0,0
361,10/07/2014,7,PIDC,Perth IDC,60,2,1
362,10/07/2014,8,PIRH,Perth IRH,11,0,0
363,10/07/2014,5,SIRH,Sydney IRH,40,0,0
364,10/07/2014,4,VIDC,Villawood IDC,302,11,4
365,10/07/2014,14,WPIDF,Wickham Point APOD,507,1,5
366,10/07/2014,13,YHIDC,Yongah Hill IDC,372,0,6
367,11/07/2014,2,AITA,Adelaide ITA,23,0,0
368,11/07/2014,3,BITA,Brisbane ITA,63,1,1
369,11/07/2014,15,BAPOD,Bladin APOD,388,2,0
370,11/07/2014,16,CC,Construction Camp APOD,297,0,0
371,11/07/2014,6,CIDC,Curtin IDC,139,0,0
372,11/07/2014,19,CIIDC,CI - North West Point,695,0,1
373,11/07/2014,11,IAPOD,Inverbrackie APOD,225,0,0
374,11/07/2014,10,MIDC,Maribyrnong IDC,105,6,5
375,11/07/2014,9,MITA,Melbourne ITA,197,0,0
376,11/07/2014,17,PH,Phosphate Hill APOD,87,0,2
377,11/07/2014,7,PIDC,Perth IDC,55,4,9
378,11/07/2014,8,PIRH,Perth IRH,15,4,0
379,11/07/2014,5,SIRH,Sydney IRH,40,0,0
380,11/07/2014,4,VIDC,Villawood IDC,301,7,8
381,11/07/2014,14,WPIDF,Wickham Point APOD,507,2,2
382,11/07/2014,13,YHIDC,Yongah Hill IDC,377,5,0
383,12/07/2014,2,AITA,Adelaide ITA,23,1,1
384,12/07/2014,3,BITA,Brisbane ITA,63,1,1
385,12/07/2014,15,BAPOD,Bladin APOD,388,0,0
386,12/07/2014,16,CC,Construction Camp APOD,297,0,0
387,12/07/2014,6,CIDC,Curtin IDC,139,0,0
388,12/07/2014,19,CIIDC,CI - North West Point,695,0,0
389,12/07/2014,11,IAPOD,Inverbrackie APOD,225,0,0
390,12/07/2014,10,MIDC,Maribyrnong IDC,101,0,4
391,12/07/2014,9,MITA,Melbourne ITA,198,1,0
392,12/07/2014,17,PH,Phosphate Hill APOD,87,0,0
393,12/07/2014,7,PIDC,Perth IDC,51,0,4
394,12/07/2014,8,PIRH,Perth IRH,15,0,0
395,12/07/2014,5,SIRH,Sydney IRH,40,0,0
396,12/07/2014,4,VIDC,Villawood IDC,306,6,1
397,12/07/2014,14,WPIDF,Wickham Point APOD,507,0,0
398,12/07/2014,13,YHIDC,Yongah Hill IDC,378,1,0
399,13/07/2014,2,AITA,Adelaide ITA,23,0,0
400,13/07/2014,3,BITA,Brisbane ITA,63,0,0
401,13/07/2014,15,BAPOD,Bladin APOD,389,1,0
402,13/07/2014,16,CC,Construction Camp APOD,297,0,0
403,13/07/2014,6,CIDC,Curtin IDC,139,0,0
404,13/07/2014,19,CIIDC,CI - North West Point,695,0,0
405,13/07/2014,11,IAPOD,Inverbrackie APOD,225,0,0
406,13/07/2014,10,MIDC,Maribyrnong IDC,104,3,0
407,13/07/2014,9,MITA,Melbourne ITA,197,0,1
408,13/07/2014,17,PH,Phosphate Hill APOD,87,0,0
409,13/07/2014,7,PIDC,Perth IDC,51,2,2
410,13/07/2014,8,PIRH,Perth IRH,15,0,0
411,13/07/2014,5,SIRH,Sydney IRH,40,0,0
412,13/07/2014,4,VIDC,Villawood IDC,307,1,0
413,13/07/2014,14,WPIDF,Wickham Point APOD,507,0,0
414,13/07/2014,13,YHIDC,Yongah Hill IDC,378,0,0
415,14/07/2014,2,AITA,Adelaide ITA,22,0,1
416,14/07/2014,3,BITA,Brisbane ITA,63,2,2
417,14/07/2014,15,BAPOD,Bladin APOD,389,0,0
418,14/07/2014,16,CC,Construction Camp APOD,297,0,0
419,14/07/2014,6,CIDC,Curtin IDC,140,1,0
420,14/07/2014,19,CIIDC,CI - North West Point,695,0,0
421,14/07/2014,11,IAPOD,Inverbrackie APOD,225,0,0
422,14/07/2014,10,MIDC,Maribyrnong IDC,105,3,2
423,14/07/2014,9,MITA,Melbourne ITA,195,0,2
424,14/07/2014,17,PH,Phosphate Hill APOD,87,0,0
425,14/07/2014,7,PIDC,Perth IDC,49,0,2
426,14/07/2014,8,PIRH,Perth IRH,15,0,0
427,14/07/2014,5,SIRH,Sydney IRH,40,0,0
428,14/07/2014,4,VIDC,Villawood IDC,304,1,4
429,14/07/2014,14,WPIDF,Wickham Point APOD,507,0,0
430,14/07/2014,13,YHIDC,Yongah Hill IDC,376,0,2
431,15/07/2014,2,AITA,Adelaide ITA,21,1,2
432,15/07/2014,3,BITA,Brisbane ITA,60,3,6
433,15/07/2014,15,BAPOD,Bladin APOD,386,0,3
434,15/07/2014,16,CC,Construction Camp APOD,294,0,3
435,15/07/2014,6,CIDC,Curtin IDC,139,0,1
436,15/07/2014,19,CIIDC,CI - North West Point,695,0,0
437,15/07/2014,11,IAPOD,Inverbrackie APOD,223,4,6
438,15/07/2014,10,MIDC,Maribyrnong IDC,102,1,4
439,15/07/2014,9,MITA,Melbourne ITA,195,0,0
440,15/07/2014,17,PH,Phosphate Hill APOD,87,0,0
441,15/07/2014,7,PIDC,Perth IDC,53,4,0
442,15/07/2014,8,PIRH,Perth IRH,15,0,0
443,15/07/2014,5,SIRH,Sydney IRH,43,3,0
444,15/07/2014,4,VIDC,Villawood IDC,312,13,5
445,15/07/2014,14,WPIDF,Wickham Point APOD,507,0,0
446,15/07/2014,13,YHIDC,Yongah Hill IDC,376,0,0
447,16/07/2014,2,AITA,Adelaide ITA,20,0,1
448,16/07/2014,3,BITA,Brisbane ITA,59,1,2
449,16/07/2014,15,BAPOD,Bladin APOD,390,4,0
450,16/07/2014,16,CC,Construction Camp APOD,259,0,35
451,16/07/2014,6,CIDC,Curtin IDC,139,0,0
452,16/07/2014,19,CIIDC,CI - North West Point,690,8,13
453,16/07/2014,11,IAPOD,Inverbrackie APOD,223,0,0
454,16/07/2014,10,MIDC,Maribyrnong IDC,110,9,1
455,16/07/2014,9,MITA,Melbourne ITA,195,0,0
456,16/07/2014,17,PH,Phosphate Hill APOD,81,1,7
457,16/07/2014,7,PIDC,Perth IDC,55,2,0
458,16/07/2014,8,PIRH,Perth IRH,15,0,0
459,16/07/2014,5,SIRH,Sydney IRH,43,0,0
460,16/07/2014,4,VIDC,Villawood IDC,314,13,11
461,16/07/2014,14,WPIDF,Wickham Point APOD,546,48,9
462,16/07/2014,13,YHIDC,Yongah Hill IDC,374,3,5
463,17/07/2014,2,AITA,Adelaide ITA,19,0,1
464,17/07/2014,3,BITA,Brisbane ITA,55,4,8
465,17/07/2014,15,BAPOD,Bladin APOD,388,0,2
466,17/07/2014,16,CC,Construction Camp APOD,259,0,0
467,17/07/2014,6,CIDC,Curtin IDC,139,0,0
468,17/07/2014,19,CIIDC,CI - North West Point,690,0,0
469,17/07/2014,11,IAPOD,Inverbrackie APOD,238,19,4
470,17/07/2014,10,MIDC,Maribyrnong IDC,111,3,2
471,17/07/2014,9,MITA,Melbourne ITA,196,6,5
472,17/07/2014,17,PH,Phosphate Hill APOD,81,0,0
473,17/07/2014,7,PIDC,Perth IDC,54,1,2
474,17/07/2014,8,PIRH,Perth IRH,15,0,0
475,17/07/2014,5,SIRH,Sydney IRH,43,0,0
476,17/07/2014,4,VIDC,Villawood IDC,319,19,14
477,17/07/2014,14,WPIDF,Wickham Point APOD,526,0,20
478,17/07/2014,13,YHIDC,Yongah Hill IDC,379,5,0
