Date Time,T (degC), Spec_H (g/kg),Rel_H (5),Prep (mm/hr),Pressure (kPa),WV (10M),WD (10M),WV (50M),WD (50M),AllSky_Irr (Wh/m^2),Clrsky_Irr (Wh/m^2) ,Zenith
01.01.2019 00:00,27.4,19.29,84.38,1.09,100.57,0.9,84.54,1.06,88.3,0,0,N/A
01.01.2019  01:00,27.2,19.23,85.19,1.51,100.51,1.09,107.53,1.3,111.16,0,0,N/A
01.01.2019  02:00,26.96,19.23,86.25,1.88,100.47,1.4,119.15,1.71,122.09,0,0,N/A
01.01.2019  03:00,26.76,19.23,87.38,1.97,100.46,1.8,116.34,2.22,118.55,0,0,N/A
01.01.2019  04:00,26.61,19.35,88.56,1.8,100.48,2.32,110.33,2.94,112.14,0,0,N/A
01.01.2019  05:00,26.57,19.29,88.62,1.3,100.51,2.66,105.67,3.39,107.02,0,0,N/A
01.01.2019  06:00,26.59,19.29,88.38,0.59,100.57,2.8,102.25,3.56,103.58,7.7,9.45,88.59
01.01.2019  07:00,27.25,19.71,87.12,0.21,100.61,2.81,101.72,3.5,102.89,111.54,166.65,77.02
01.01.2019  08:00,28.24,19.65,81.94,0.32,100.64,2.62,102.05,3.03,105.11,316.27,401.73,63.7
01.01.2019  09:00,29.21,19.17,75.56,0.23,100.62,2.1,102.02,2.41,107.38,522.6,613.7,50.99
01.01.2019  10:00,29.89,19.17,72.56,0.15,100.57,1.59,93.66,1.81,102.23,678.41,778.35,39.57
01.01.2019  11:00,29.9,18.62,70.5,0.1,100.51,1.32,81.15,1.46,90.92,780.73,880.33,30.95
01.01.2019  12:00,30.19,18.8,70,0.14,100.43,1.37,64.02,1.48,72.52,773.03,896.9,27.88
01.01.2019  13:00,30.29,18.98,70.12,0.21,100.34,1.54,60.83,1.68,68.45,721.94,851.73,32.01
01.01.2019  14:00,30.44,19.35,70.69,0.41,100.27,1.43,60.64,1.57,69.04,600.28,735.12,41.22
01.01.2019  15:00,30.69,19.41,69.94,0.72,100.26,1.24,61.82,1.36,70.83,432.44,558.1,52.91
01.01.2019  16:00,30.51,19.23,70.19,0.93,100.29,1.08,62.51,1.16,72.3,240.3,343.1,65.75
01.01.2019  17:00,30.05,19.47,72.81,0.99,100.36,0.86,55.01,0.86,60.64,75.02,116.77,79.15
01.01.2019  18:00,29.34,20.26,79.12,0.91,100.45,0.66,15.2,0.64,4.18,5.32,3.45,89.4
01.01.2019  19:00,28.83,20.45,82.12,0.97,100.52,0.68,337.83,0.81,322.03,0,0,N/A
01.01.2019  20:00,28.41,20.57,84.75,0.98,100.59,0.72,314.56,0.97,299.46,0,0,N/A
01.01.2019  21:00,28.07,20.57,86.5,0.95,100.63,0.92,292.88,1.27,284.21,0,0,N/A
01.01.2019  22:00,27.79,20.51,87.81,0.91,100.64,1.24,286.04,1.69,280.95,0,0,N/A
01.01.2019  23:00,27.55,20.45,88.62,0.77,100.62,1.4,285.81,1.83,282.85,0,0,N/A
02.01.2019  00:00,27.37,20.26,88.75,0.62,100.58,1.34,292.54,1.64,291.19,0,0,N/A
02.01.2019  01:00,27.25,20.08,88.5,0.51,100.55,1.1,300.2,1.29,299.05,0,0,N/A
02.01.2019  02:00,27.2,19.9,87.88,0.38,100.55,0.74,305.54,0.84,304.73,0,0,N/A
02.01.2019  03:00,27.19,19.65,87.06,0.3,100.55,0.39,344.85,0.42,344.93,0,0,N/A
02.01.2019  04:00,27.04,19.47,87.06,0.23,100.58,0.72,61.49,0.83,61.99,0,0,N/A
02.01.2019  05:00,26.82,19.41,87.81,0.17,100.64,1.36,68.75,1.59,68.72,0,0,N/A
02.01.2019  06:00,26.7,19.35,88.31,0.15,100.7,1.91,69.11,2.3,68.92,8.22,8.88,88.64
02.01.2019  07:00,27.01,19.71,88.31,0.16,100.75,2.42,66.58,2.98,65.99,82.62,158.7,77.12
02.01.2019  08:00,27.6,19.78,85.62,0.1,100.8,2.88,66.29,3.37,66.47,231.34,389,63.77
02.01.2019  09:00,28.51,19.59,80.38,0.09,100.79,2.95,66.28,3.43,67.64,374.66,599.1,51.05
02.01.2019  10:00,29.09,19.35,76.88,0.13,100.75,2.77,61.12,3.13,63.11,503.36,760.55,39.59
02.01.2019  11:00,29.42,19.35,75.31,0.22,100.7,2.38,53.81,2.63,56.73,614.45,856.6,30.92
02.01.2019  12:00,29.71,19.17,73.31,0.35,100.63,1.89,42.48,2.03,46.56,579.42,885,27.79
02.01.2019  13:00,29.67,19.23,73.69,0.51,100.56,1.72,25.52,1.82,28.43,520.87,841.02,31.88
02.01.2019  14:00,29.48,19.41,75.19,0.61,100.5,1.9,18.96,2.04,20.66,558.3,728.55,41.09
02.01.2019  15:00,29.31,19.71,77.12,0.57,100.49,2.32,25.36,2.56,26.88,407.21,557.85,52.78
02.01.2019  16:00,29.26,20.02,78.56,0.5,100.52,2.84,32.21,3.27,33.5,248.95,343,65.62
02.01.2019  17:00,28.77,20.14,81.25,0.4,100.58,3.19,35.72,3.81,35.91,81.81,119.62,79.02
02.01.2019  18:00,28.13,20.51,86.06,0.3,100.64,3.26,36.02,4.24,34.8,5.6,3.65,89.37
02.01.2019  19:00,27.86,20.45,87.25,0.2,100.7,3.31,38.09,4.31,37.04,0,0,N/A
02.01.2019  20:00,27.73,20.39,87.62,0.14,100.74,3.13,39.73,3.99,38.96,0,0,N/A
02.01.2019  21:00,27.71,20.2,86.81,0.14,100.76,2.78,40.32,3.41,39.52,0,0,N/A
02.01.2019  22:00,27.72,19.9,85.69,0.15,100.76,2.4,41.96,2.84,40.87,0,0,N/A
02.01.2019  23:00,27.57,19.71,85.62,0.16,100.76,2.29,49.29,2.63,49.45,0,0,N/A
03.01.2019  00:00,27.23,19.59,86.75,0.18,100.73,2.35,59.59,2.69,61.2,0,0,N/A
03.01.2019  01:00,26.95,19.47,87.44,0.24,100.69,2.51,67.9,2.91,70.2,0,0,N/A
03.01.2019  02:00,26.65,19.29,88.25,0.29,100.67,2.77,75.14,3.26,78.26,0,0,N/A
03.01.2019  03:00,26.41,19.1,88.62,0.29,100.68,3.04,80.08,3.65,83.36,0,0,N/A
03.01.2019  04:00,26.19,18.86,88.69,0.24,100.71,3.21,83.72,3.96,87.62,0,0,N/A
03.01.2019  05:00,25.99,18.55,88.38,0.14,100.74,3.37,86.81,4.23,90.85,0,0,N/A
03.01.2019  06:00,25.89,18.31,87.88,0.09,100.81,3.39,87.49,4.39,92.04,10.64,8.73,88.68
03.01.2019  07:00,26.51,18.37,85.06,0.06,100.87,3.49,87.05,4.21,89.57,152.26,163.25,77.2
03.01.2019  08:00,27.08,18.37,82.31,0.03,100.94,3.23,81.09,3.61,81.91,387.16,396.67,63.85
03.01.2019  09:00,28.28,18.25,76.06,0.02,100.94,2.99,66.11,3.31,66.46,573.08,609.38,51.1
03.01.2019  10:00,29.34,18.01,70.75,0.01,100.93,2.94,51.91,3.26,54.06,696.02,775.73,39.62
03.01.2019  11:00,29.87,18.19,69.25,0.01,100.89,2.91,43.91,3.23,47.06,818.12,880.38,30.89
03.01.2019  12:00,30.13,18.43,69.12,0.01,100.83,2.87,35.25,3.17,38.79,799.16,909.98,27.7
03.01.2019  13:00,30.23,18.62,69.44,0.01,100.74,2.86,24.68,3.12,28.23,753.92,866.45,31.74
03.01.2019  14:00,30.13,18.86,70.44,0.02,100.68,2.9,14.48,3.15,17.31,657.52,752.23,40.95
03.01.2019  15:00,29.86,19.04,72.25,0.03,100.65,3.04,6.19,3.32,7.71,463.58,577.35,52.64
03.01.2019  16:00,29.45,19.41,75.38,0.05,100.68,3.1,1.44,3.49,1.03,257.17,358.27,65.49
03.01.2019  17:00,28.91,19.65,78.75,0.08,100.75,3.13,1.43,3.69,0.12,86.88,128.02,78.91
03.01.2019  18:00,28.15,20.02,84.06,0.11,100.83,3.03,4.74,3.87,1.04,6.2,4,89.33
03.01.2019  19:00,27.88,20.08,85.69,0.1,100.91,3.1,8.99,3.95,6.24,0,0,N/A
03.01.2019  20:00,27.77,20.14,86.56,0.12,100.95,3.08,13.51,3.86,11.92,0,0,N/A
03.01.2019  21:00,27.73,20.14,86.88,0.12,100.96,2.93,16.6,3.57,15.62,0,0,N/A
03.01.2019  22:00,27.72,20.14,86.81,0.11,100.93,2.64,18.43,3.16,17.72,0,0,N/A
03.01.2019  23:00,27.74,20.08,86.38,0.13,100.89,2.23,23.96,2.59,23.47,0,0,N/A
04.01.2019  00:00,27.77,19.96,85.69,0.16,100.83,1.89,32.83,2.14,32.65,0,0,N/A
04.01.2019  01:00,27.63,19.9,86,0.19,100.77,1.8,40.6,2.06,39.92,0,0,N/A
04.01.2019  02:00,27.4,19.84,86.88,0.18,100.74,1.89,49.19,2.18,48.49,0,0,N/A
04.01.2019  03:00,27.28,19.78,87.25,0.15,100.76,2,57.31,2.32,56.26,0,0,N/A
04.01.2019  04:00,27.12,19.65,87.69,0.13,100.78,2.02,62.64,2.37,61.4,0,0,N/A
04.01.2019  05:00,26.94,19.59,88.31,0.1,100.81,2.18,66.1,2.57,65.15,0,0,N/A
04.01.2019  06:00,26.79,19.47,88.56,0.08,100.89,2.37,72.16,2.82,71.77,10.29,8.08,88.73
04.01.2019  07:00,27.05,19.59,87.94,0.07,100.97,2.46,79.4,2.94,79.44,152.59,152.77,77.29
04.01.2019  08:00,27.83,19.47,83.56,0.04,101.03,2.41,82.55,2.79,84.39,385.34,382.65,63.92
04.01.2019  09:00,28.73,19.04,77.56,0.03,101.03,2.35,76.52,2.66,79.15,602.05,601.45,51.15
04.01.2019  10:00,29.17,18.98,75.19,0.02,100.99,2.4,60.19,2.66,63.51,768,772.33,39.63
04.01.2019  11:00,29.55,19.1,74,0.02,100.95,2.79,44.66,3.09,47.87,862.14,879.02,30.86
04.01.2019  12:00,29.73,19.17,73.56,0.02,100.87,3.3,32.82,3.67,35.48,837.91,914.35,27.59
04.01.2019  13:00,29.69,19.29,74,0.04,100.77,3.72,24.41,4.17,26.47,760.58,872.95,31.61
04.01.2019  14:00,29.59,19.41,74.88,0.04,100.69,3.98,17.37,4.47,19.07,664.58,759.9,40.8
04.01.2019  15:00,29.33,19.59,76.75,0.05,100.68,4.09,11.78,4.63,12.56,455.09,585.95,52.51
04.01.2019  16:00,28.98,19.9,79.56,0.07,100.7,4.02,8.73,4.76,8.4,256.8,367.98,65.37
04.01.2019  17:00,28.48,20.02,82.31,0.08,100.75,3.92,8.6,4.79,7.31,86.78,136.25,78.78
04.01.2019  18:00,27.9,20.26,86.19,0.11,100.8,3.75,10.68,4.88,7.91,5.45,4.42,89.29
04.01.2019  19:00,27.73,20.32,87.38,0.13,100.87,3.92,14.67,5.14,12.37,0,0,N/A
04.01.2019  20:00,27.65,20.39,88.12,0.16,100.93,4.11,18.16,5.37,16.3,0,0,N/A
04.01.2019  21:00,27.61,20.45,88.56,0.16,100.95,4.24,21.64,5.46,20.43,0,0,N/A
04.01.2019  22:00,27.55,20.39,88.62,0.16,100.94,4.25,25.34,5.44,24.54,0,0,N/A
04.01.2019  23:00,27.48,20.26,88.5,0.14,100.92,4.16,29.69,5.28,29.1,0,0,N/A
05.01.2019  00:00,27.35,20.14,88.44,0.12,100.84,3.99,35.19,5.05,34.8,0,0,N/A
05.01.2019  01:00,27.19,19.96,88.38,0.14,100.76,3.78,41.4,4.76,41.14,0,0,N/A
05.01.2019  02:00,26.98,19.71,88.44,0.21,100.72,3.67,48.37,4.61,48.64,0,0,N/A
05.01.2019  03:00,26.76,19.41,88.31,0.16,100.71,3.62,56.89,4.56,57.67,0,0,N/A
05.01.2019  04:00,26.55,19.1,88.12,0.09,100.73,3.51,66.12,4.4,67.76,0,0,N/A
05.01.2019  05:00,26.4,18.8,87.31,0.06,100.76,3.38,77.03,4.18,79.34,0,0,N/A
05.01.2019  06:00,26.4,18.55,86.38,0.03,100.82,3.23,86.25,4.02,89,9.54,8.42,88.77
05.01.2019  07:00,27.23,18.8,83.5,0.02,100.89,3.14,91.42,3.78,94.03,154.93,165.08,77.38
05.01.2019  08:00,28.58,18.62,76.31,0,100.94,2.9,90.77,3.39,93.44,392.87,400.25,63.98
05.01.2019  09:00,29.35,18.37,72.06,0,100.91,2.63,81.97,2.95,83.93,609.08,614.9,51.2
05.01.2019  10:00,29.87,18.43,70.12,0,100.87,2.56,66.48,2.87,69.1,754.99,782.65,39.65
05.01.2019  11:00,30.3,18.62,69,0,100.81,2.87,49.86,3.2,53.44,816.45,887.9,30.81
05.01.2019  12:00,30.48,18.86,69.12,0,100.72,3.34,37.3,3.7,40.72,833.5,920.05,27.48
05.01.2019  13:00,30.46,19.1,69.94,0,100.61,3.82,28.61,4.24,31.58,787.37,879.9,31.46
05.01.2019  14:00,30.23,19.29,71.69,0,100.53,4.18,21.82,4.68,23.31,658.48,768.42,40.66
05.01.2019  15:00,29.93,19.65,74.31,0,100.51,4.4,15.86,4.98,16.3,506.67,594.83,52.37
05.01.2019  16:00,29.62,20.08,77.25,0,100.53,4.41,14.06,5.18,14.06,310.91,376.05,65.23
05.01.2019  17:00,29.11,20.26,80.12,0,100.58,4.4,13.03,5.31,12.4,107.02,141.83,78.66
05.01.2019  18:00,28.33,20.57,85.25,0.01,100.63,4.22,11.87,5.46,9.48,7.48,4.8,89.26
05.01.2019  19:00,28.06,20.69,87.12,0,100.7,4.18,12.63,5.39,10.43,0,0,N/A
05.01.2019  20:00,27.94,20.81,88.44,0.01,100.75,4,16.1,5.1,14.36,0,0,N/A
05.01.2019  21:00,27.87,20.94,89.12,0.01,100.76,3.67,21.37,4.62,20.09,0,0,N/A
05.01.2019  22:00,27.77,20.87,89.5,0.01,100.73,3.34,31.79,4.16,30.56,0,0,N/A
05.01.2019  23:00,27.65,20.75,89.5,0.01,100.7,3,43.63,3.68,42.42,0,0,N/A
06.01.2019  00:00,27.51,20.45,89.06,0.01,100.64,2.74,55.45,3.26,55.36,0,0,N/A
06.01.2019  01:00,27.23,20.14,88.88,0.01,100.57,2.68,67.7,3.15,68.91,0,0,N/A
06.01.2019  02:00,26.95,19.71,88.5,0.01,100.54,2.86,77.37,3.41,80.11,0,0,N/A
06.01.2019  03:00,26.66,19.29,88.06,0.01,100.55,3.12,84.39,3.75,87.97,0,0,N/A
06.01.2019  04:00,26.36,18.92,88.12,0.01,100.6,3.3,87.69,3.99,91.79,0,0,N/A
06.01.2019  05:00,26.08,18.68,88.44,0.01,100.66,3.39,86.83,4.12,91.41,0,0,N/A
06.01.2019  06:00,25.95,18.49,88.38,0.01,100.74,3.47,83.53,4.26,88.42,10.24,8.12,88.8
06.01.2019  07:00,26.73,18.62,85,0.01,100.83,3.52,79.89,4.12,82.7,151.45,161.62,77.45
06.01.2019  08:00,27.59,18.55,80.5,0.01,100.88,3.49,71.2,3.9,72.51,399.45,397.02,64.05
06.01.2019  09:00,28.5,18.55,76.38,0.01,100.88,3.35,60.32,3.69,62.13,615.21,613.6,51.24
06.01.2019  10:00,29.19,18.49,73.31,0.01,100.86,3.19,45.59,3.48,48.18,753.23,781.08,39.66
06.01.2019  11:00,29.6,18.62,72,0,100.81,3.35,36.28,3.65,39.52,869.46,886.95,30.77
06.01.2019  12:00,29.84,18.74,71.25,0,100.73,3.62,31.6,3.93,35.21,867.83,925.5,27.37
06.01.2019  13:00,29.9,18.68,70.81,0,100.62,3.86,26.67,4.2,30.14,804.91,885.08,31.31
06.01.2019  14:00,29.88,18.68,70.81,0,100.54,4.08,22.19,4.46,25.31,688.46,773.62,40.5
06.01.2019  15:00,29.71,18.8,71.81,0.01,100.51,4.38,17.43,4.87,19.31,530.55,600.05,52.23
06.01.2019  16:00,29.36,19.1,74.5,0.01,100.51,4.52,13.7,5.22,14.2,335.44,381.65,65.1
06.01.2019  17:00,28.83,19.23,77.38,0.02,100.54,4.72,13.09,5.71,12.88,125.77,146.4,78.54
06.01.2019  18:00,27.98,19.47,82.44,0.03,100.6,4.71,13.34,6.09,11.99,7.83,5.12,89.22
06.01.2019  19:00,27.73,19.59,84.06,0.04,100.66,4.88,15.97,6.33,15.1,0,0,N/A
06.01.2019  20:00,27.6,19.71,85.38,0.05,100.72,4.91,19.04,6.33,18.64,0,0,N/A
06.01.2019  21:00,27.48,19.84,86.5,0.05,100.74,4.79,22.04,6.14,21.96,0,0,N/A
06.01.2019  22:00,27.37,19.9,87.25,0.05,100.74,4.61,25.52,5.86,25.51,0,0,N/A
06.01.2019  23:00,27.25,19.84,87.75,0.06,100.73,4.3,30.48,5.43,30.62,0,0,N/A
07.01.2019  00:00,27.09,19.71,87.94,0.06,100.69,4,35.86,5.03,36.03,0,0,N/A
07.01.2019  01:00,26.91,19.53,87.94,0.06,100.64,3.84,40.37,4.81,40.65,0,0,N/A
07.01.2019  02:00,26.73,19.29,87.69,0.06,100.61,3.77,44.83,4.72,45.34,0,0,N/A
07.01.2019  03:00,26.55,18.92,87.19,0.04,100.62,3.8,49.83,4.78,50.77,0,0,N/A
07.01.2019  04:00,26.4,18.62,86.5,0.03,100.65,3.86,54.31,4.86,55.54,0,0,N/A
07.01.2019  05:00,26.26,18.31,85.81,0.03,100.7,3.84,57.28,4.85,58.85,0,0,N/A
07.01.2019  06:00,26.24,18.13,85.06,0.03,100.75,3.77,59.44,4.79,61.34,7.89,7.98,88.84
07.01.2019  07:00,27.26,18.37,81.12,0.02,100.82,3.74,60.23,4.56,60.97,148.83,163.4,77.53
07.01.2019  08:00,28.5,18.37,75.56,0.03,100.87,3.77,55.82,4.46,56.64,385.71,400.12,64.12
07.01.2019  09:00,29.15,18.37,72.81,0.02,100.86,3.83,49.3,4.38,50.5,612.35,616.12,51.27
07.01.2019  10:00,29.64,18.68,71.94,0.03,100.8,3.88,40.59,4.37,42.61,773.58,784.9,39.66
07.01.2019  11:00,29.94,19.04,72,0.05,100.75,4.14,32.82,4.63,35.38,880.27,894.23,30.71
07.01.2019  12:00,30.01,19.41,72.94,0.1,100.67,4.45,25.89,4.97,28.66,911.95,929.9,27.24
07.01.2019  13:00,29.87,19.65,74.5,0.15,100.58,4.75,20.7,5.3,23.17,821.23,882.92,31.16
07.01.2019  14:00,29.55,19.78,76.38,0.16,100.49,4.99,16.76,5.59,18.76,657.76,769.35,40.35
07.01.2019  15:00,29.21,19.96,78.5,0.16,100.46,5.3,14.51,5.99,15.88,500.88,594.15,52.08
07.01.2019  16:00,28.8,20.08,80.88,0.17,100.49,5.58,14.93,6.43,15.57,310.05,375.3,64.97
07.01.2019  17:00,28.32,20.2,83.69,0.19,100.55,5.54,17.46,6.77,17.24,101.58,141.88,78.42
07.01.2019  18:00,27.82,20.14,85.88,0.22,100.61,5.43,20.47,7.07,19.5,6.81,5.17,89.18
07.01.2019  19:00,27.62,20.02,86.62,0.2,100.68,5.61,21.82,7.36,20.95,0,0,N/A
07.01.2019  20:00,27.44,20.02,87.56,0.16,100.73,5.69,21.85,7.43,20.82,0,0,N/A
07.01.2019  21:00,27.23,20.08,88.75,0.15,100.75,5.53,21.38,7.16,20.18,0,0,N/A
07.01.2019  22:00,27.04,20.08,89.88,0.16,100.72,5.27,20.21,6.73,18.62,0,0,N/A
07.01.2019  23:00,26.91,20.08,90.56,0.16,100.69,4.95,18.69,6.15,16.55,0,0,N/A
08.01.2019  00:00,26.87,20.02,90.5,0.17,100.61,4.81,18.29,5.86,16.65,0,0,N/A
08.01.2019  01:00,26.76,19.9,90.31,0.16,100.53,4.8,22.6,5.76,22.08,0,0,N/A
08.01.2019  02:00,26.55,19.71,90.62,0.12,100.5,4.9,31.97,5.92,32.39,0,0,N/A
08.01.2019  03:00,26.43,19.59,90.62,0.08,100.54,4.66,37.16,5.63,37.51,0,0,N/A
08.01.2019  04:00,26.33,19.35,90.25,0.03,100.63,4.21,40.49,5.16,40.21,0,0,N/A
08.01.2019  05:00,26.35,19.17,89.31,0.01,100.68,3.83,45.83,4.84,45.33,0,0,N/A
08.01.2019  06:00,26.53,18.98,87.62,0,100.71,3.86,50.09,4.99,50.33,8.3,7.45,88.88
08.01.2019  07:00,27.07,19.17,85.62,0,100.77,4.14,55.23,5.33,55.98,138.05,157.17,77.61
08.01.2019  08:00,27.87,19.1,81.62,0.01,100.84,4.27,60.76,5.18,62.12,368.38,391.95,64.17
08.01.2019  09:00,28.77,18.68,75.56,0.01,100.84,3.89,63.54,4.5,65.35,552.27,607.92,51.31
08.01.2019  10:00,29.41,18.62,72.62,0.01,100.8,3.38,58.04,3.77,60.62,710.88,776.92,39.65
08.01.2019  11:00,29.96,18.68,70.69,0.02,100.75,3.16,45.4,3.49,49.18,796.55,883.62,30.65
08.01.2019  12:00,30.18,18.86,70.38,0.03,100.67,3.25,31.55,3.52,35.35,810.84,921.6,27.12
08.01.2019  13:00,30.13,19.04,71,0.06,100.56,3.47,18.39,3.72,21.29,749.16,882.6,31
08.01.2019  14:00,29.83,19.23,72.94,0.08,100.47,3.85,7.34,4.17,8.83,614.05,772.45,40.2
08.01.2019  15:00,29.44,19.41,75.25,0.08,100.44,4.26,0.63,4.71,1.42,432.43,601,51.94
08.01.2019  16:00,28.94,19.59,78.31,0.1,100.47,4.47,358.6,5.1,358.51,262.45,383.77,64.84
08.01.2019  17:00,28.4,19.71,81.31,0.11,100.53,4.42,0.4,5.35,359,94.8,149.55,78.3
08.01.2019  18:00,27.9,19.78,84,0.13,100.6,4.28,4.09,5.63,1.51,6.7,5.67,89.14
08.01.2019  19:00,27.76,19.78,84.75,0.17,100.66,4.41,7.63,5.92,5.23,0,0,N/A
08.01.2019  20:00,27.7,19.9,85.62,0.22,100.72,4.58,10.81,6.17,8.82,0,0,N/A
08.01.2019  21:00,27.65,20.08,86.75,0.3,100.71,4.79,13.38,6.46,11.72,0,0,N/A
08.01.2019  22:00,27.6,20.26,87.62,0.43,100.66,5.09,15.68,6.85,14.19,0,0,N/A
08.01.2019  23:00,27.55,20.39,88.31,0.65,100.58,5.33,19.15,7.11,17.8,0,0,N/A
09.01.2019  00:00,27.48,20.39,88.62,0.88,100.52,4.98,22.79,6.51,21.02,0,0,N/A
09.01.2019  01:00,27.42,20.26,88.44,0.78,100.5,4.34,26.38,5.61,24.1,0,0,N/A
09.01.2019  02:00,27.38,20.14,88.06,0.47,100.47,4.35,32.09,5.64,30.47,0,0,N/A
09.01.2019  03:00,27.34,19.96,87.44,0.34,100.5,4.39,40.81,5.53,40.13,0,0,N/A
09.01.2019  04:00,27.26,19.71,87.06,0.32,100.56,4.4,48.75,5.52,48.55,0,0,N/A
09.01.2019  05:00,27.08,19.47,86.88,0.29,100.6,4.57,53.89,5.82,54.28,0,0,N/A
09.01.2019  06:00,27.01,19.29,86.38,0.22,100.66,4.55,56.77,5.79,57.72,7.67,7.4,88.91
09.01.2019  07:00,27.37,19.41,85.25,0.15,100.76,4.38,57.98,5.53,58.94,64.15,159.05,77.68
09.01.2019  08:00,27.83,19.23,82.25,0.03,100.84,4.4,59.16,5.31,60.19,170.73,393.7,64.23
09.01.2019  09:00,28.49,19.1,78.56,0.03,100.84,4.27,56.8,5.08,58.19,298.34,610.23,51.34
09.01.2019  10:00,29.03,18.98,75.75,0.03,100.82,4.24,48.59,4.88,50.07,499.8,780.35,39.64
09.01.2019  11:00,29.4,19.04,74.31,0.04,100.79,4.45,36.23,5.05,38.27,665.97,888,30.58
09.01.2019  12:00,29.62,19.23,74,0.04,100.71,4.81,25.9,5.43,28.45,696.79,923.75,26.98
09.01.2019  13:00,29.57,19.29,74.44,0.04,100.62,5.06,19.86,5.7,22.56,715.44,884.67,30.83
09.01.2019  14:00,29.38,19.29,75.19,0.04,100.53,5.16,16.27,5.79,18.58,639.09,773,40.03
09.01.2019  15:00,29.08,19.35,76.62,0.03,100.5,5.21,14.6,5.85,16.28,492.76,598.42,51.79
09.01.2019  16:00,28.69,19.41,78.69,0.03,100.51,5.22,15.18,5.96,16.06,270.09,378.2,64.71
09.01.2019  17:00,28.19,19.53,81.69,0.02,100.55,5,15.32,6,15.01,90.23,147.23,78.18
09.01.2019  18:00,27.58,19.59,84.81,0.02,100.58,4.72,15.35,5.96,13.87,7.42,5.9,89.1
09.01.2019  19:00,27.42,19.53,85.38,0.01,100.62,4.81,15.08,6.03,14.02,0,0,N/A
09.01.2019  20:00,27.39,19.47,85.19,0.02,100.66,4.83,15.95,6.03,15.03,0,0,N/A
09.01.2019  21:00,27.4,19.41,84.94,0.02,100.68,4.79,16.96,5.97,15.8,0,0,N/A
09.01.2019  22:00,27.38,19.41,85,0.04,100.7,4.51,17.56,5.57,16.04,0,0,N/A
09.01.2019  23:00,27.29,19.23,84.94,0.06,100.71,4.36,19.9,5.44,17.91,0,0,N/A
10.01.2019  00:00,27.17,19.1,84.94,0.06,100.68,4.49,23.62,5.59,21.83,0,0,N/A
10.01.2019  01:00,26.99,19.04,85.31,0.06,100.61,4.65,28.85,5.85,27.69,0,0,N/A
10.01.2019  02:00,26.8,18.92,85.81,0.05,100.58,4.68,34.59,5.94,34.07,0,0,N/A
10.01.2019  03:00,26.59,18.8,86.25,0.06,100.58,4.69,39.93,6.02,40,0,0,N/A
10.01.2019  04:00,26.4,18.62,86.31,0.06,100.6,4.68,44.86,6.12,45.41,0,0,N/A
10.01.2019  05:00,26.21,18.31,86.06,0.03,100.64,4.57,49.99,6.04,50.77,0,0,N/A
10.01.2019  06:00,26.12,18.07,85.31,0.01,100.71,4.42,54.2,5.94,54.74,8.83,7.17,88.94
10.01.2019  07:00,26.44,17.94,83.38,0.01,100.78,4.51,58.68,5.77,59.2,142.46,158.45,77.75
10.01.2019  08:00,26.86,17.76,80.56,0,100.83,4.54,63.66,5.46,64.21,388.52,397.35,64.27
10.01.2019  09:00,27.35,17.52,77.06,0,100.82,4.36,65.78,5.1,66.42,552.26,617.73,51.36
10.01.2019  10:00,27.87,17.27,73.81,0,100.77,4.01,63.78,4.64,64.99,606.82,790.48,39.62
10.01.2019  11:00,28.24,17.21,71.81,0,100.72,3.65,55.56,4.18,57.44,801.77,899.52,30.51
10.01.2019  12:00,28.44,17.21,71.06,0,100.65,3.41,42.21,3.86,44.67,864.99,925.4,26.84
10.01.2019  13:00,28.51,17.33,71.25,0,100.54,3.38,26.68,3.77,29.11,838.9,886.5,30.66
10.01.2019  14:00,28.48,17.58,72.25,0,100.44,3.63,15.59,4.08,17.39,715.08,775.2,39.87
10.01.2019  15:00,28.43,17.94,73.88,0,100.4,3.92,12.79,4.5,13.75,552.61,601.38,51.64
10.01.2019  16:00,28.37,18.25,75.5,0,100.41,4.2,13.78,5.03,14.47,326.3,381.52,64.58
10.01.2019  17:00,28.06,18.68,78.44,0,100.45,4.43,13.06,5.49,12.83,127.08,146.65,78.06
10.01.2019  18:00,27.46,18.98,82.81,0.02,100.49,4.63,12.86,6.03,12.2,8.08,6.02,89.06
10.01.2019  19:00,27.26,19.29,85,0.03,100.55,4.87,15.55,6.27,15.09,0,0,N/A
10.01.2019  20:00,27.15,19.53,86.62,0.03,100.62,4.99,19.29,6.4,18.94,0,0,N/A
10.01.2019  21:00,27.05,19.65,87.69,0.03,100.65,5.07,24.11,6.47,23.93,0,0,N/A
10.01.2019  22:00,26.94,19.65,88.38,0.02,100.63,5.02,30.28,6.33,30.08,0,0,N/A
10.01.2019  23:00,26.87,19.59,88.5,0.03,100.6,4.75,37.11,5.91,37.16,0,0,N/A
11.01.2019  00:00,26.76,19.41,88.06,0.04,100.56,4.2,44.02,5.14,44.01,0,0,N/A
11.01.2019  01:00,26.62,18.98,87,0.06,100.53,3.5,53.08,4.19,52.81,0,0,N/A
11.01.2019  02:00,26.39,18.62,86.38,0.08,100.52,2.99,64.77,3.52,65.31,0,0,N/A
11.01.2019  03:00,26.18,18.25,85.75,0.09,100.54,2.79,72.58,3.28,73.51,0,0,N/A
11.01.2019  04:00,25.99,17.94,85.38,0.08,100.57,2.82,73.27,3.33,74.2,0,0,N/A
